item,item_en,2025,2024,2023,2022
I. Nợ ngắn hạn,I. Short -term liabilities,262162687.0,265770300.0,287766425.0,266174128.0
1. Phải trả người bán ngắn hạn,1.  Short-term trade accounts payable,27500837.0,27454623.0,35442820.0,20481910.0
2. Người mua trả tiền trước ngắn hạn,2. Short-term advances from customers,11368856.0,10466490.0,26120591.0,16313951.0
3. Thuế và các khoản phải nộp Nhà nước,3. Taxes and other payables to state authorities,6019169.0,4922585.0,6053952.0,5636575.0
4. Phải trả người lao động,4. Payable to employees,26893013.0,23795369.0,24500967.0,25631282.0
5. Chi phí phải trả ngắn hạn,5. Short-term acrrued expenses,6565787.0,5236732.0,6453754.0,6583320.0
6. Phải trả nội bộ ngắn hạn,6. Short-term inter-company payables,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,7. Construction contract progress payments due to suppliers,,,,
8. Doanh thu chưa thực hiện ngắn hạn,8. Short-term unearned revenue,,,,
9. Phải trả ngắn hạn khác,9. Other short-term payables,97199567.0,113185679.0,109600740.0,129010776.0
10. Vay và nợ thuê tài chính ngắn hạn,10. Short-term borrowings and financial leases,61783445.0,60349729.0,59226614.0,47559243.0
11. Dự phòng phải trả ngắn hạn,11. Provision for short-term liabilities,9377535.0,10425158.0,11229122.0,7508364.0
"12. Quỹ khen thưởng, phúc lợi",12.. Bonus and welfare fund,15454479.0,9933935.0,9137866.0,7448709.0
13. Quỹ bình ổn giá,13. Price stabilization fund,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,14. Government bonds,,,,
II. Nợ dài hạn ,II. Long-term liabilities,562778887.0,606964801.0,659797684.0,720255409.0
1. Phải trả người bán dài hạn,1. Long-term trade payables,,,,
2. Người mua trả tiền trước dài hạn,2. Long-term advances from customers,,,,
3. Chi phí phải trả dài hạn,3. Long-term acrrued expenses,,,,
4. Phải trả nội bộ về vốn kinh doanh,4. Inter-company payables on business capital,,,,
5. Phải trả nội bộ dài hạn,5. Long-term inter-company payables,,,,
6. Doanh thu chưa thực hiện dài hạn,6. Long-term unearned revenue,,,,
7. Phải trả dài hạn khác,7. Other long-term liabilities,6468245.0,6075305.0,35621976.0,73175430.0
8. Vay và nợ thuê tài chính dài hạn,8. Long-term borrowings and financial leases,556310642.0,600889496.0,624175708.0,647079978.0
9. Trái phiếu chuyển đổi,9. Convertible bonds,,,,
10. Cổ phiếu ưu đãi (Nợ),10. Preferred stock (Debts),,,,
11. Thuế thu nhập hoãn lại phải trả,11. Deferred income tax liabilities,,,,
12. Dự phòng phải trả dài hạn,12. Provision for long-term liabilities,,,,
13. Quỹ phát triển khoa học và công nghệ,13. Fund for technology development,,,,
14. Dự phòng trợ cấp mất việc làm,14. Provision for severance allowances,,,,
B. VỐN CHỦ SỞ HỮU,B. OWNER'S EQUITY ,1120456452.0,1119898468.0,1085086604.0,1051834421.0
I. Vốn chủ sở hữu,I. Owner's equity,1120456452.0,1119898468.0,1085086604.0,1051834421.0
1. Vốn góp của chủ sở hữu,1. Owner's capital ,876000000.0,876000000.0,876000000.0,876000000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Common stock with voting right,876000000.0,876000000.0,876000000.0,876000000.0
- Cổ phiếu ưu đãi,- Preferred stock,,,,
2. Thặng dư vốn cổ phần,2. Share premium,,,,
3. Quyền chọn chuyển đổi trái phiếu,3. Convertible bond option,,,,
4. Vốn khác của chủ sở hữu,4. Other capital of owners,,,,
5. Cổ phiếu quỹ (*),5. Treasury shares,-2170000.0,-2170000.0,-2170000.0,-2170000.0
6. Chênh lệch đánh giá lại tài sản,6. Assets revaluation differences,,,,
7. Chênh lệch tỷ giá hối đoái,7. Foreign exchange differences,,,,
8. Quỹ đầu tư phát triển,8. Investment and development fund,104533515.0,69396571.0,45882969.0,22375584.0
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,9. Fund to support corporate restructuring,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,10. Other funds from owner's equity,,,,
11. Lợi nhuận sau thuế chưa phân phối,11. Undistributed earnings after tax,142092937.0,176671897.0,165373635.0,155628837.0
- LNST chưa phân phối lũy kế đến cuối kỳ trước,- Accumulated retained earning at the end of the previous period,189875.0,41686192.0,37465427.0,37465427.0
- LNST chưa phân phối kỳ này,- Undistributed earnings in this period,141903062.0,134985706.0,127908208.0,118163410.0
12. Nguồn vốn đầu tư XDCB,12. Reserves for investment in construction,,,,
13. Lợi ích cổ đông không kiểm soát,13. Minority's interest,,,,
14. Quỹ dự phòng tài chính,14. Financial reserves,,,,
II. Nguồn kinh phí và quỹ khác,II. Other resources and funds ,,,,
1. Nguồn kinh phí,1. Subsidized not-for-profit funds,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,2. Funds invested in fixed assets,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,C. MINORITY'S INTEREST,,,,
TỔNG CỘNG NGUỒN VỐN,TOTAL OWNER'S EQUITY AND LIABILITIES ,1945398026.0,1992633569.0,2032650713.0,2038263958.0
